条码,开始时间,结束时间,耗时,传参,Code,message,进站方式,
001CB1U0000001ABB6512414,2020/11/12-0:04:17.011,2020/11/12-0:04:17.046,34ms,{"operation":"PRWELD"，"operationRevision":"#"，"site":"2002"，"sfc":"001CB1U0000001ABB6512414"},0,OK,自动
001CB1U0000001ABB6512398,2020/11/12-0:04:32.955,2020/11/12-0:04:32.989,33ms,{"operation":"PRWELD"，"operationRevision":"#"，"site":"2002"，"sfc":"001CB1U0000001ABB6512398"},0,OK,自动
001CB1U0000001ABC6500010,2020/11/12-0:04:40.180,2020/11/12-0:04:40.219,38ms,{"operation":"PRWELD"，"operationRevision":"#"，"site":"2002"，"sfc":"001CB1U0000001ABC6500010"},0,OK,自动
001CB1U0000001ABB6512412,2020/11/12-0:05:11.982,2020/11/12-0:05:11.013,31ms,{"operation":"PRWELD"，"operationRevision":"#"，"site":"2002"，"sfc":"001CB1U0000001ABB6512412"},0,OK,自动
001CB1U0000001ABC6500012,2020/11/12-0:05:19.873,2020/11/12-0:05:19.920,47ms,{"operation":"PRWELD"，"operationRevision":"#"，"site":"2002"，"sfc":"001CB1U0000001ABC6500012"},0,OK,自动
001CB1U0000001ABB6512428,2020/11/12-0:05:34.292,2020/11/12-0:05:34.336,43ms,{"operation":"PRWELD"，"operationRevision":"#"，"site":"2002"，"sfc":"001CB1U0000001ABB6512428"},0,OK,自动
001CB1U0000001ABC6500014,2020/11/12-0:05:42.277,2020/11/12-0:05:42.315,36ms,{"operation":"PRWELD"，"operationRevision":"#"，"site":"2002"，"sfc":"001CB1U0000001ABC6500014"},0,OK,自动
001CB1U0000001ABB6512426,2020/11/12-0:06:13.278,2020/11/12-0:06:13.325,47ms,{"operation":"PRWELD"，"operationRevision":"#"，"site":"2002"，"sfc":"001CB1U0000001ABB6512426"},0,OK,自动
001CB1U0000001AB96502648,2020/11/12-0:06:21.757,2020/11/12-0:06:21.805,47ms,{"operation":"PRWELD"，"operationRevision":"#"，"site":"2002"，"sfc":"001CB1U0000001AB96502648"},0,OK,自动
001CB1U0000001AB96502636,2020/11/12-0:06:36.018,2020/11/12-0:06:36.066,46ms,{"operation":"PRWELD"，"operationRevision":"#"，"site":"2002"，"sfc":"001CB1U0000001AB96502636"},0,OK,自动
